ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,Owner Occupied,2014,2014,7590,486.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.5252958682261748
0,Owner Occupied,2014,2014,1085718,5696.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.6151917023874618
0,Owner Occupied,2013,2013,75075700,345645.0,United States,01000US,united-states,0.649386382947334
0,Owner Occupied,2013,2013,1585259,7919.999999999999,Massachusetts,04000US25,massachusetts,0.6265481807974003
0,Owner Occupied,2013,2013,85138,1630.0,"Boston, MA",16000US2507000,boston-ma,0.3413521293912931
0,Owner Occupied,2013,2013,12593,532.0,"Brookline, MA",16000US2509210,brookline-ma,0.4957288509231193
0,Owner Occupied,2013,2013,15504,626.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.349622279851167
0,Owner Occupied,2013,2013,3162,349.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.2737662337662337
0,Owner Occupied,2013,2013,5941,391.0,"Everett, MA",16000US2521990,everett-ma,0.3883514184860766
0,Owner Occupied,2013,2013,19193,612.0,"Quincy, MA",16000US2555745,quincy-ma,0.4825028910453014
0,Owner Occupied,2013,2013,9902,456.00000000000006,"Revere, MA",16000US2556585,revere-ma,0.5010372919091232
0,Owner Occupied,2013,2013,10867,621.0,"Somerville, MA",16000US2562535,somerville-ma,0.3447214820454257
0,Owner Occupied,2013,2013,7588,463.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.5359135532170352
0,Owner Occupied,2013,2013,1085050,5577.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.6180275747209321
