ID Sector,Sector,ID University,University,ID Year,Year,Completions,Slug University,Geography,ID Geography,Slug Geography
5,"Private not-for-profit, 2-year","429128","Urban College of Boston",2020,"2020",81,"urban-college-of-boston","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","164845","Empire Beauty School-Boston",2020,"2020",60,"empire-beauty-school-boston","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","484057","Jupiter Beauty Academy",2020,"2020",194,"jupiter-beauty-academy","Boston, MA","16000US2507000","boston-ma"
1,"Public, 4-year or above","166638","University of Massachusetts-Boston",2019,"2019",3774,"university-of-massachusetts-boston","Boston, MA","16000US2507000","boston-ma"
1,"Public, 4-year or above","166674","Massachusetts College of Art and Design",2019,"2019",427,"massachusetts-college-of-art-and-design","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165802","Fisher College",2019,"2019",382,"fisher-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165671","Emmanuel College (165671)",2019,"2019",597,"emmanuel-college-165671","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164988","Boston University",2019,"2019",11988,"boston-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167358","Northeastern University",2019,"2019",7454,"northeastern-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","168005","Suffolk University (168005)",2019,"2019",2259,"suffolk-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165167","Cambridge College",2019,"2019",838,"cambridge-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165662","Emerson College",2019,"2019",1288,"emerson-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167783","Simmons University",2019,"2019",2398,"simmons-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","482705","Northeastern University Professional Programs",2019,"2019",3488,"northeastern-university-lifelong-learning-network","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","168227","Wentworth Institute of Technology",2019,"2019",1018,"wentworth-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164614","Boston Baptist College",2019,"2019",20,"boston-baptist-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167677","Saint John's Seminary",2019,"2019",53,"saint-johns-seminary","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166656","MCPHS University",2019,"2019",2076,"mcphs-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166869","MGH Institute of Health Professions",2019,"2019",569,"mgh-institute-of-health-professions","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167093","New England College of Optometry",2019,"2019",124,"new-england-college-of-optometry","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165884","Benjamin Franklin Institute of Technology",2019,"2019",223,"benjamin-franklin-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164748","Berklee College of Music",2019,"2019",1711,"berklee-college-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164872","Boston Architectural College",2019,"2019",164,"boston-architectural-college","Boston, MA","16000US2507000","boston-ma"
